objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,type,format,rights,rightsstatement
coll011,IMG_2156.jpeg,Pyrite,"Lewis, Irene",2018-09,Three inch piece of pyrite also known as Fool's Gold.,Minerals,Peru,-11.80877354,-76.94913708,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,IMG_2158.jpeg,Larimar,"Lewis, Irene",2018-10,One inch piece of larimar.,Minerals,Dominican Republic,18.60930085,-69.92760645,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,IMG_2162.jpeg,Septarian,"Lewis, Irene",2019-03,"A flame sculpture of septarian, which is a concretion - a fossil formed out of mud.",Rock,"Utah, USA",40.8714876,-111.7361942,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,IMG_2166.jpeg,Obsidian,"Lewis, Irene",2019-07,Two round specimens of volcanic glass also known as Apache tears.,Rock,"Nevada, USA",39.22465709,-119.9054761,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,IMG_2168.jpeg,Copper,"Lewis, Irene",2019-08,Three pieces of one inch pieces of copper in its natural form.,Minerals,"Michigan, USA",42.84184723,-84.55825739,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,IMG_2179.jpeg,Tiger's Eye,"Lewis, Irene",2019-09,Two specimens of tiger's eye in its polished (L) and rough (R) forms.,Minerals,South Africa,-32.97912903,17.93479025,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,IMG_2182.jpeg,Carnelian,"Lewis, Irene",2020-01,Two polished (L) and rough (R) specimens of carnelian.,Minerals,India,28.35428363,76.88712416,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,IMG_2185.jpeg,Leopard Skin Jasper,"Lewis, Irene",2020-02,A four inch piece of leopard skin jasper.,Minerals,Mexico,19.69467414,-99.25981763,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,IMG_2187.jpeg,Aquamarine,"Lewis, Irene",2020-06,A two inch polished piece of an aquamarine crystal.,Minerals,Brazil,-15.84344799,-46.69777208,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,IMG_2188.jpeg,Aragonite,"Lewis, Irene",2021-01,A four inch piece of crystallized aragonite.,Minerals,Mexico,19.69467414,-99.25981763,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,IMG_2190.jpeg,Ulexite,"Lewis, Irene",2021-01,A three inch piece of ulexite also known as T.V. stone.,Minerals,"California, USA",38.70427873,-121.6511328,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,IMG_2191.jpeg,Amazonite,"Lewis, Irene",2021-02,A rough (L) and polished (R) forms of Amazonite also known as Amazonstone.,Minerals,Brazil,-15.84344799,-46.69777208,Travis Jackson's Mineral and Rock Collection,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
